space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume,funding_rate
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T01:00:00Z,venue:binance,6.674,6.688,6.636,6.641,304922,2032539.6,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T02:00:00Z,venue:binance,6.641,6.644,6.605,6.608,253169,1676612.955,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T03:00:00Z,venue:binance,6.607,6.665,6.603,6.652,262324,1738922.89,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T04:00:00Z,venue:binance,6.653,6.67,6.631,6.659,272717,1814107.221,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T05:00:00Z,venue:binance,6.659,6.686,6.629,6.683,289653,1927439.741,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T06:00:00Z,venue:binance,6.683,6.73,6.677,6.682,490482,3286820.616,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T07:00:00Z,venue:binance,6.681,6.681,6.606,6.617,479084,3179210.933,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T08:00:00Z,venue:binance,6.618,6.655,6.608,6.648,483455,3204250.523,7.216e-05
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T09:00:00Z,venue:binance,6.648,6.686,6.648,6.66,310713,2071774.837,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T10:00:00Z,venue:binance,6.66,6.68,6.649,6.651,225149,1499885.905,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T11:00:00Z,venue:binance,6.652,6.684,6.649,6.664,240590,1603128.051,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T12:00:00Z,venue:binance,6.665,6.758,6.653,6.742,754373,5060048.604,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T13:00:00Z,venue:binance,6.742,6.771,6.672,6.696,1095658,7372550.979999999,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T14:00:00Z,venue:binance,6.697,6.721,6.663,6.702,493503,3304627.682,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T15:00:00Z,venue:binance,6.703,6.738,6.684,6.724,702509,4713896.295,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T16:00:00Z,venue:binance,6.725,6.738,6.644,6.693,829554,5550873.4290000005,8.998e-05
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T17:00:00Z,venue:binance,6.693,6.728,6.688,6.723,352118,2362312.837,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T18:00:00Z,venue:binance,6.722,6.745,6.69,6.695,424131,2852669.143,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T19:00:00Z,venue:binance,6.694,6.709,6.682,6.691,339322,2272469.315,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T20:00:00Z,venue:binance,6.692,6.732,6.687,6.695,262679,1761922.239,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T21:00:00Z,venue:binance,6.694,6.709,6.671,6.681,180360,1205929.661,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T22:00:00Z,venue:binance,6.681,6.716,6.669,6.693,264671,1770115.243,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T23:00:00Z,venue:binance,6.692,6.717,6.684,6.698,189973,1273109.031,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T00:00:00Z,venue:binance,582.23,583.56,581.69,582.65,12306.63,7170824.7925,0.00012457
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T01:00:00Z,venue:binance,582.64,582.64,580.33,580.51,9740.05,5661703.0436,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T02:00:00Z,venue:binance,580.5,581.58,579.57,580.39,8801.68,5109637.4787,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T03:00:00Z,venue:binance,580.39,581.73,580.06,581.14,10077.13,5854903.4173,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T04:00:00Z,venue:binance,581.13,581.66,577.54,580.07,18390.31,10657749.4752,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T05:00:00Z,venue:binance,580.08,581.17,579.1,580.95,18422.59,10679317.6498,
