space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T13:00:00Z,venue:binance,6.746,6.773,6.677,6.7,152067.89,1024575.66405
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T14:00:00Z,venue:binance,6.701,6.725,6.667,6.707,83206.38,557797.98254
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T15:00:00Z,venue:binance,6.706,6.743,6.689,6.728,68113.12,457410.69081
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T16:00:00Z,venue:binance,6.728,6.741,6.647,6.697,94448.71,632244.36586
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T17:00:00Z,venue:binance,6.696,6.73,6.693,6.726,61671.09,414005.60927
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T18:00:00Z,venue:binance,6.726,6.749,6.694,6.697,62871.64,423114.49425
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T19:00:00Z,venue:binance,6.698,6.712,6.687,6.696,61105.33,409505.52499
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T20:00:00Z,venue:binance,6.696,6.737,6.692,6.699,33646.9,225735.92174
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T21:00:00Z,venue:binance,6.699,6.712,6.675,6.684,28355.96,189646.66251
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T22:00:00Z,venue:binance,6.684,6.717,6.675,6.697,42753.32,286155.91671
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T23:00:00Z,venue:binance,6.696,6.719,6.69,6.702,19363.54,129834.51575
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T00:00:00Z,venue:binance,581.88,583.17,581.44,582.22,4543.826,2646456.13131
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T01:00:00Z,venue:binance,582.23,582.23,579.95,580.09,3751.022,2179393.97334
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T02:00:00Z,venue:binance,580.08,581.11,579.2,579.94,3220.098,1868125.65487
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T03:00:00Z,venue:binance,579.95,581.29,579.67,580.71,3290.735,1910867.25113
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T04:00:00Z,venue:binance,580.72,581.24,577.29,579.66,3858.444,2235805.62223
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T05:00:00Z,venue:binance,579.67,580.77,578.71,580.6,3261.538,1889734.46156
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T06:00:00Z,venue:binance,580.6,582.28,579.78,579.78,3779.461,2196127.7569
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T07:00:00Z,venue:binance,579.79,580.19,576.49,576.49,9743.3,5632051.06918
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T08:00:00Z,venue:binance,576.5,577.7,575.8,577.13,5287.453,3048419.44869
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T09:00:00Z,venue:binance,577.12,577.98,576.56,577.14,4011.443,2316041.98621
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T10:00:00Z,venue:binance,577.14,578.86,576.99,578.82,5247.953,3034486.53128
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T11:00:00Z,venue:binance,578.82,579.1,577.83,579.01,3709.241,2146187.55234
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T12:00:00Z,venue:binance,579.02,584.52,577.22,582.59,9320.893,5408975.19274
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T13:00:00Z,venue:binance,582.6,585.3,580.99,582.47,12170.854,7098077.74279
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T14:00:00Z,venue:binance,582.48,583.72,580.21,581.62,6402.896,3725234.6739
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T15:00:00Z,venue:binance,581.62,582.33,580.4,581.73,6796.062,3950588.12494
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T16:00:00Z,venue:binance,581.74,581.79,576.63,578.64,7227.608,4184565.10873
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T17:00:00Z,venue:binance,578.65,580.83,578.35,580.09,3701.86,2145546.3264
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T18:00:00Z,venue:binance,580.1,581.91,579.51,579.74,2267.169,1316784.86479
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T19:00:00Z,venue:binance,579.75,580.37,578.55,579.48,1732.744,1004678.83001
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T20:00:00Z,venue:binance,579.5,581.32,579.3,580.78,1734.464,1007051.04583
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T21:00:00Z,venue:binance,580.78,581.49,580.48,581.09,2571.616,1494003.94485
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T22:00:00Z,venue:binance,581.1,581.97,580.53,581.06,2800.784,1627571.3362
crypto_market,spot_kline_1h,BNB-USDT,1H,2026-07-15T23:00:00Z,venue:binance,581.07,581.66,579.9,580.55,2464.393,1431290.05762
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T00:00:00Z,venue:binance,65043.99,65065.01,64765.12,64824.58,352.45343,22876740.1339942
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T01:00:00Z,venue:binance,64824.57,64853.08,64644.48,64674.35,610.2003100000001,39490595.096953
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T02:00:00Z,venue:binance,64674.35,64755.99,64488.0,64490.87,350.99185,22663017.4091236
