space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,amount
stock_cn,stock_cn_kline,sh600838,1H,2026-07-16T15:00:00+08:00,,7.39,7.4,7.3,7.33,2379142.0,17449651.0
stock_cn,stock_cn_kline,sh601086,1H,2026-07-16T10:30:00+08:00,,7.18,7.38,7.17,7.28,6017128.0,43731140.0
stock_cn,stock_cn_kline,sh601086,1H,2026-07-16T11:30:00+08:00,,7.29,7.35,7.26,7.35,2094100.0,15305295.0
stock_cn,stock_cn_kline,sh601086,1H,2026-07-16T14:00:00+08:00,,7.34,7.35,7.3,7.3,1568300.0,11481580.0
stock_cn,stock_cn_kline,sh601086,1H,2026-07-16T15:00:00+08:00,,7.3,7.32,7.27,7.29,1845100.0,13443983.0
stock_cn,stock_cn_kline,sh601318,1H,2026-07-16T10:30:00+08:00,,50.7,51.29,50.24,50.61,35153139.0,1778980700.0
stock_cn,stock_cn_kline,sh601318,1H,2026-07-16T11:30:00+08:00,,50.62,50.87,50.54,50.78,13255749.0,672440000.0
stock_cn,stock_cn_kline,sh601318,1H,2026-07-16T14:00:00+08:00,,50.77,51.09,50.64,50.65,13638281.0,693906000.0
stock_cn,stock_cn_kline,sh601318,1H,2026-07-16T15:00:00+08:00,,50.65,50.84,50.59,50.67,19232702.0,975074000.0
stock_cn,stock_cn_kline,sh601368,1H,2026-07-16T10:30:00+08:00,,4.42,4.44,4.36,4.43,2837700.0,12481180.0
stock_cn,stock_cn_kline,sh601368,1H,2026-07-16T11:30:00+08:00,,4.43,4.44,4.4,4.43,724400.0,3203590.0
stock_cn,stock_cn_kline,sh601368,1H,2026-07-16T14:00:00+08:00,,4.43,4.47,4.42,4.46,1401000.0,6237885.0
stock_cn,stock_cn_kline,sh601368,1H,2026-07-16T15:00:00+08:00,,4.46,4.46,4.42,4.46,1875800.0,8336595.0
stock_cn,stock_cn_kline,sh601398,1H,2026-07-16T10:30:00+08:00,,7.51,7.53,7.36,7.4,175059840.0,1302205820.0
stock_cn,stock_cn_kline,sh601398,1H,2026-07-16T11:30:00+08:00,,7.39,7.47,7.39,7.43,54372050.0,404270080.0
stock_cn,stock_cn_kline,sh601398,1H,2026-07-16T14:00:00+08:00,,7.42,7.46,7.4,7.42,52801800.0,392146800.0
stock_cn,stock_cn_kline,sh601398,1H,2026-07-16T15:00:00+08:00,,7.42,7.42,7.38,7.39,69506400.0,514192200.0
stock_cn,stock_cn_kline,sh601825,1H,2026-07-16T10:30:00+08:00,,8.04,8.19,7.93,7.96,8941600.0,71833678.0
stock_cn,stock_cn_kline,sh601825,1H,2026-07-16T11:30:00+08:00,,7.96,8.02,7.94,7.97,2417800.0,19260670.0
stock_cn,stock_cn_kline,sh601825,1H,2026-07-16T14:00:00+08:00,,7.96,8.01,7.95,7.99,3187800.0,25456065.0
stock_cn,stock_cn_kline,sh601825,1H,2026-07-16T15:00:00+08:00,,7.99,7.99,7.94,7.98,4912580.0,39139637.0
stock_cn,stock_cn_kline,sh603019,1H,2026-07-16T10:30:00+08:00,,93.5,101.2,92.01,99.99,47865166.0,4640020700.0
stock_cn,stock_cn_kline,sh603019,1H,2026-07-16T11:30:00+08:00,,100.0,101.32,98.86,99.7,14422584.0,1443975000.0
stock_cn,stock_cn_kline,sh603019,1H,2026-07-16T14:00:00+08:00,,99.75,100.25,98.09,98.42,9534081.0,945099800.0
stock_cn,stock_cn_kline,sh603019,1H,2026-07-16T15:00:00+08:00,,98.42,98.88,97.02,97.66,14056229.0,1375683600.0
stock_cn,stock_cn_kline,sh603191,1H,2026-07-16T10:30:00+08:00,,13.19,13.42,12.95,13.38,2275205.0,29990297.0
stock_cn,stock_cn_kline,sh603191,1H,2026-07-16T11:30:00+08:00,,13.37,13.44,13.25,13.37,919300.0,12284086.0
stock_cn,stock_cn_kline,sh603191,1H,2026-07-16T14:00:00+08:00,,13.36,13.36,13.16,13.18,954300.0,12642061.0
stock_cn,stock_cn_kline,sh603191,1H,2026-07-16T15:00:00+08:00,,13.17,13.2,13.04,13.13,1242800.0,16283258.0
stock_cn,stock_cn_kline,sh603282,1H,2026-07-16T10:30:00+08:00,,14.1,14.81,14.01,14.75,894000.0,12968382.0
stock_cn,stock_cn_kline,sh603282,1H,2026-07-16T11:30:00+08:00,,14.75,14.76,14.63,14.66,209800.0,3082111.0
stock_cn,stock_cn_kline,sh603282,1H,2026-07-16T14:00:00+08:00,,14.66,14.71,14.45,14.45,254100.0,3692737.0
stock_cn,stock_cn_kline,sh603282,1H,2026-07-16T15:00:00+08:00,,14.52,14.55,14.29,14.39,224300.0,3235077.0
stock_cn,stock_cn_kline,sh603370,1H,2026-07-16T10:30:00+08:00,,32.55,33.28,32.26,33.25,265806.0,8734076.7
stock_cn,stock_cn_kline,sh603370,1H,2026-07-16T11:30:00+08:00,,33.24,33.28,32.91,32.98,74700.0,2472389.0
stock_cn,stock_cn_kline,sh603370,1H,2026-07-16T14:00:00+08:00,,33.0,33.0,32.76,32.8,79100.0,2601197.3
stock_cn,stock_cn_kline,sh603370,1H,2026-07-16T15:00:00+08:00,,32.87,32.87,32.57,32.81,129800.0,4247250.0
