space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,amount
stock_cn,stock_cn_kline,sh688613,1d,2026-07-07T15:00:00+08:00,,15.23,15.23,14.69,14.72,2233118.0,33142363.0
stock_cn,stock_cn_kline,sh688613,1d,2026-07-08T15:00:00+08:00,,14.92,14.94,14.43,14.47,1753108.0,25548613.0
stock_cn,stock_cn_kline,sh688613,1d,2026-07-09T15:00:00+08:00,,14.44,15.06,14.29,14.57,2449689.0,35758111.0
stock_cn,stock_cn_kline,sh688613,1d,2026-07-10T15:00:00+08:00,,14.53,16.1,14.33,15.93,5745830.0,89696696.0
stock_cn,stock_cn_kline,sh688613,1d,2026-07-13T15:00:00+08:00,,15.7,15.84,14.9,14.93,4621672.0,70032361.0
stock_cn,stock_cn_kline,sh688613,1d,2026-07-14T15:00:00+08:00,,14.93,15.36,14.65,15.19,3211653.0,48502995.0
stock_cn,stock_cn_kline,sh688613,1d,2026-07-15T15:00:00+08:00,,15.05,16.24,15.05,15.48,5348941.0,84183179.0
stock_cn,stock_cn_kline,sh688613,1d,2026-07-16T15:00:00+08:00,,15.3,15.95,15.26,15.7,5772625.0,90551546.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-02T15:00:00+08:00,,8.55,8.86,8.38,8.42,22738399.0,195925166.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-03T15:00:00+08:00,,8.48,8.75,8.21,8.58,25578781.0,215999742.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-06T15:00:00+08:00,,8.5,8.61,8.23,8.24,15697135.0,131719266.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-07T15:00:00+08:00,,8.31,8.31,7.95,8.05,17141256.0,138243066.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-08T15:00:00+08:00,,8.05,8.05,7.77,7.82,16261753.0,127847496.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-09T15:00:00+08:00,,7.77,7.94,7.58,7.88,17298108.0,134225766.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-10T15:00:00+08:00,,7.87,9.31,7.81,8.6,47041997.0,409677499.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-13T15:00:00+08:00,,8.42,8.77,7.86,7.87,32444585.0,262699562.0
