space_id,dataset_id,subject_id,freq,data_time,open,high,low,close,volume,quote_volume
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T15:00:00Z,1933.24,1937.6,1925.95,1931.95,15043.138,29066680.858768
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T16:00:00Z,1931.96,1932.95,1904.36,1919.62,21205.2658,40667834.489545
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T17:00:00Z,1919.62,1931.22,1919.44,1927.94,10664.0432,20522170.602711
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T18:00:00Z,1927.93,1937.0,1922.62,1924.47,14593.8081,28177442.984353
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T19:00:00Z,1924.47,1929.06,1918.92,1924.15,8808.6579,16956103.146534
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T20:00:00Z,1924.15,1930.71,1919.71,1923.75,4481.7148,8627045.989483
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T21:00:00Z,1923.75,1925.73,1919.8,1922.0,4689.2691,9015318.348162
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T22:00:00Z,1922.0,1928.58,1918.3,1923.43,6006.3769,11553949.311746
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T23:00:00Z,1923.43,1927.28,1914.89,1917.86,5492.9744,10548571.012237
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T00:00:00Z,77.87,77.92,77.47,77.66,47671.994,3703198.67443
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T01:00:00Z,77.67,77.82,77.28,77.44,61605.767,4777420.9239
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T02:00:00Z,77.43,77.59,77.03,77.29,74804.377,5777535.76708
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T03:00:00Z,77.3,77.9,77.23,77.78,47465.878,3681215.37024
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T04:00:00Z,77.78,78.18,77.54,78.02,55833.135,4350292.94786
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T05:00:00Z,78.02,78.33,77.65,78.26,75424.953,5881126.46819
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T06:00:00Z,78.26,78.7,77.94,77.94,167363.776,13113816.53843
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T07:00:00Z,77.95,78.01,77.4,77.42,54867.198,4263011.15804
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T08:00:00Z,77.42,77.62,77.23,77.58,62008.649,4801451.62373
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T09:00:00Z,77.57,77.91,77.43,77.49,38046.609,2955366.03674
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T10:00:00Z,77.49,77.71,77.23,77.37,49120.592,3802778.61084
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T11:00:00Z,77.37,77.53,77.34,77.52,37779.813,2925664.28005
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T12:00:00Z,77.53,78.31,77.26,78.28,125652.339,9779722.38428
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T13:00:00Z,78.28,79.04,77.71,78.11,253391.641,19908696.9761
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T14:00:00Z,78.11,78.39,77.78,78.22,98123.199,7663981.32707
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T15:00:00Z,78.22,78.25,77.76,78.07,100345.689,7834078.33155
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T16:00:00Z,78.06,78.12,77.07,77.63,115744.444,8976108.4489
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T17:00:00Z,77.63,78.05,77.5,77.82,63500.613,4936894.25757
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T18:00:00Z,77.82,78.09,77.51,77.58,47315.924,3685238.79569
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T19:00:00Z,77.59,77.69,76.94,77.18,82691.575,6389189.83294
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T20:00:00Z,77.18,77.54,77.1,77.38,30726.918,2376256.86458
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T21:00:00Z,77.38,77.52,77.24,77.41,32917.941,2546688.59475
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T22:00:00Z,77.41,77.74,77.3,77.48,36814.471,2854577.71599
crypto,binance_spot_kline_1h,SOL-USDT,1h,2026-07-15T23:00:00Z,77.48,77.61,77.21,77.29,30174.093,2335550.61066
