space_id,dataset_id,subject_id,freq,data_time,open,high,low,close,volume,quote_volume,funding_rate
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T02:00:00Z,1869.34,1872.36,1863.32,1863.62,89162.98,166457145.57563,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T03:00:00Z,1863.63,1878.33,1863.5,1875.32,116310.434,217671709.54207,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T04:00:00Z,1875.31,1879.85,1872.38,1875.65,73548.757,138003809.88202,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T05:00:00Z,1875.65,1882.86,1870.53,1881.71,89876.568,168566307.73787,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T06:00:00Z,1881.72,1891.54,1874.16,1874.82,243302.098,458572724.16458,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T07:00:00Z,1874.81,1876.37,1863.57,1869.13,198028.788,370203026.49233,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T08:00:00Z,1869.13,1878.9,1869.08,1878.29,91108.831,170785988.70624,5.006e-05
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T09:00:00Z,1878.3,1885.66,1878.09,1879.08,120807.873,227283237.25262,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T10:00:00Z,1879.08,1885.63,1874.0,1877.17,91050.265,171118996.06864,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T11:00:00Z,1877.17,1885.0,1876.51,1883.64,78897.15,148387994.09396,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T12:00:00Z,1883.63,1929.75,1878.47,1926.73,730267.548,1392166107.13953,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T13:00:00Z,1926.73,1946.75,1916.4,1924.7,911972.327,1763310131.09962,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T14:00:00Z,1924.7,1934.87,1918.16,1932.48,339456.697,654551311.31118,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T15:00:00Z,1932.48,1938.0,1924.67,1930.97,208421.589,402640431.40307,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T16:00:00Z,1930.97,1932.09,1903.37,1918.82,381316.986,730414602.96937,8.736e-05
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T17:00:00Z,1918.83,1930.8,1918.52,1927.18,153939.536,296102492.24437,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T18:00:00Z,1927.19,1936.51,1921.88,1923.82,168983.458,326161833.15761,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T19:00:00Z,1923.81,1928.47,1918.2,1923.2,106273.02,204430406.28464,
